id,age,sex,childadult,season,Protein(g),fat(g),carbohydrate(g),Calcium(g),Iron(g),Zinc(g),VitaminA(mcg),FoodWeight(g),Folate(mcg),Energy(Kcal),VitaminA(RE),VitaminC(mcg),SpeciesCount,ddscount10,ddscount21,ddscount27,VitA_NAR,VitC_NAR,simpson,entropy,dissimilarity,zsimpson,zentropy,zdds,zdissimilarity,zMAR,zddscount10,zspeciescount,zfd,Zn_NAR,Ca_NAR,Fe_NAR,Folate_NAR,Mean_NAR,meanprob,fd
109,22,female,adult,dry & plenty,126.8695027,39.92920068,634.5357852,442.329895,16.50610259,21.64075755,0,1552.446019,173.6998474,3403.724978,2384.428296,39.78858829,11.0,5,7,8,1.0,1.0,0.86417502,2.2371325,0.59955543,0.077331766,-0.14680062,-0.15162899,0.7282052,0.04999711,0.29211602,0.66291034,-0.41317677,1.0,0.55291235,0.15336457,0.54281205,0.7081815,0.10114562,0.35170007
110,12,female,child,dry & plenty,81.27066373,57.80435213,298.0655621,590.7704197,8.191067529,11.75712182,0,797.9594574,193.9211063,2007.503014,93.87798963,2.546538699,6.0,5,5,8,0.49409467,0.1958876,0.89384705,2.4383872,0.39753738,0.58995628,0.32230344,-0.39720911,-0.56750423,-0.38021114,0.32934648,-0.42666093,-1.273187,1.0,1.0,0.1963245,1.0,0.64771777,0.10681993,0.2442344
111,22,female,adult,dry & plenty,220.4046886,159.3671858,499.9883536,692.6557846,20.51300162,27.50594066,0,1591.327365,607.5324764,4293.689367,88.21202372,7.387626018,11.0,4,4,5,0.32671121,0.22386746,0.86215979,2.1174049,0.64650607,0.042515881,-0.42587352,-0.19024222,1.0293386,-0.6997512,-0.1197405,0.58492088,0.56384617,1.0,0.86581975,0.20044933,1.0,0.60280794,0.087275475,0.47378749
112,12,female,child,dry & plenty,70.60418363,25.16965945,226.4224308,2263.410316,106.9596981,11.83489412,0,795.1525308,298.4863893,1412.695797,1259.935309,183.2365567,5.0,4,4,6,1.0,1.0,0.95017278,3.0202851,0.1039586,1.5630597,1.6786486,-0.35087323,-2.4504685,2.1263285,-0.20863876,-0.38173237,-0.13982661,1.0,1.0,1.0,1.0,1.0,0.13888888,0.38585752
113,20,female,adult,dry & plenty,72.46907562,41.66277436,561.4312232,422.0098553,17.62061249,18.33460492,0,1409.778087,560.5356574,2910.568653,3628.088232,217.2565645,10.0,4,5,7,1.0,1.0,0.93435329,3.1354587,0.45731613,1.2897565,1.9471065,0.14955419,-0.18409348,0.55416471,-0.085396327,0.3061879,1.3890401,1.0,0.52751231,0.14672676,1.0,0.77903986,0.13889107,0.57690257
114,12,female,child,dry & plenty,43.35019068,12.68165294,161.2693965,61.18231509,3.958781533,8.27884069,0,394.0593781,50.06749307,932.1705941,13.65138457,9.030907815,4.0,4,4,5,0.071849391,0.69468522,0.85453272,2.1250656,0.58950734,-0.089252099,-0.4080174,0.13101985,0.66375846,-2.1351836,-0.16105448,-0.72326553,-1.298499,1.0,0.12236463,0.10026008,0.41722912,0.40106475,0.05001637,0.24107145
118,12,female,child,dry & plenty,68.07541108,66.5424683,105.3083667,247.9512157,11.83706174,9.024458496,0,614.5684913,268.9816988,1296.577326,2458.276022,46.86522876,7.0,6,7,10,1.0,1.0,0.93784249,2.9837468,0.32363835,1.3500372,1.5934813,-0.10529311,-1.0414801,0.7836951,0.87740409,-0.18502298,-0.65300518,1.0,0.49590242,0.37189302,1.0,0.81129926,0.13877387,0.32173145
120,12,female,child,dry & plenty,68.28977475,41.82390009,305.25494,644.3726529,10.51636288,12.88157383,0,829.1702821,62.49595143,1747.715388,18.74493693,6.432748113,6.0,5,5,7,0.098657563,0.49482676,0.92885619,2.7686889,0.27826199,1.1947868,1.0922034,0.010546577,-1.3325163,-0.99817169,0.33593342,-0.36266178,-1.0700587,1.0,1.0,0.2509141,0.52079958,0.56086636,0.081011496,0.26961702
125,20,female,adult,dry & plenty,73.22376553,41.45736115,301.3102932,128.6303223,10.98821979,12.76835701,0,669.5041603,126.8804103,1858.112743,479.7621855,22.9903098,6.0,3,3,4,1.0,0.69667608,0.89774895,2.6160891,0.31393966,0.65736687,0.73650867,-0.35352099,-1.1036857,-1.0016038,-0.39063203,-0.31085294,-0.73423004,1.0,0.16078791,0.10833866,0.39650127,0.56038398,0.07916633,0.3115817
126,12,male,child,dry & plenty,55.45087278,15.85557872,271.7104717,1147.630699,11.50908077,9.900275946,0,587.9148453,32.16440502,1211.517586,35.6657336,10.16269933,5.0,3,5,7,0.18771438,0.78174609,0.92904788,2.6819959,0.19167159,1.1980984,0.89013064,0.18662289,-1.8878924,-0.83934361,-0.68935066,-0.37050495,-1.2697102,1.0,1.0,0.26163629,0.26803672,0.58318889,0.083177947,0.24466886
