id,age,sex,childadult,season,Protein(g),fat(g),carbohydrate(g),Calcium(g),Iron(g),Zinc(g),VitaminA(mcg),FoodWeight(g),Folate(mcg),Energy(Kcal),VitaminA(RE),VitaminC(mcg),SpeciesCount,ddscount10,ddscount21,ddscount27,VitA_NAR,VitC_NAR,simpson,entropy,dissimilarity,zsimpson,zentropy,zdds,zdissimilarity,zMAR,zddscount10,zspeciescount,zfd,Zn_NAR,Ca_NAR,Fe_NAR,Folate_NAR,Mean_NAR,meanprob,fd
1361,26,female,adult,lean & wet,138.2029408,102.0172316,580.662598,216.5046833,18.07987559,25.79431065,0,1456.435025,197.6845541,3793.679913,225.4489069,172.6981884,6.0,3,4,5,0.83499593,1.0,0.88344127,2.429678,0.59721333,-0.048909545,-0.19516355,-0.11522223,1.0116165,-0.46119404,-0.35397202,-0.37948021,-0.83219934,1.0,0.27063087,0.17543219,0.61776423,0.64980388,0.089020729,0.29910734
1362,24,male,child,lean & wet,40.09512751,18.34287872,164.7069197,159.8563857,4.700821335,6.346694533,0,855.8399195,111.7247871,984.5232974,6.811924176,0.3,4.0,4,4,6,0.034059621,0.023076924,0.8324939,2.00772,0.51623237,-0.88029337,-1.0738761,-0.56092918,0.50908053,-2.1136625,-0.29506916,-0.79377204,-1.114742,0.93333745,0.31971276,0.096516423,0.93103987,0.38962385,0.060868476,0.26055062
1367,30,female,adult,lean & wet,101.9647764,23.34814521,554.3160021,314.4543745,12.81341989,20.63995322,0,1344.920057,210.1458751,2833.540442,521.0058914,112.2402963,9.0,5,6,7,1.0,1.0,0.92781192,2.7884367,0.27467483,0.67515224,0.55193877,0.14112948,-0.98993051,-0.18948729,0.15809293,-0.008925356,0.060619514,1.0,0.39306796,0.10572978,0.65670586,0.69258392,0.10889715,0.42094439
1370,24,male,child,lean & wet,53.02076242,22.59718016,324.0911677,206.0484694,8.861281587,11.15662238,0,1027.905014,215.7465758,1710.889009,961.3864549,100.5895617,13.0,6,9,11,1.0,1.0,0.8551898,2.1901917,0.59855348,-0.50993073,-0.69388515,0.049753856,1.019933,0.28862503,0.65392214,0.66761065,0.021943837,1.0,0.41209695,0.19507721,1.0,0.76786238,0.13865677,0.41566658
1375,26,female,adult,lean & wet,132.2102186,52.93874666,417.5314427,927.0488464,31.51163369,18.04531489,0,2240.152566,1125.328998,2655.594163,4183.468857,679.248468,12.0,6,7,8,1.0,1.0,0.96175635,3.3583407,0.21820694,1.2290739,1.738744,0.22678065,-1.340348,0.99265903,0.61249721,0.43312711,0.38638416,1.0,1.0,0.2722722,1.0,0.87871206,0.1360568,0.46539932
1385,25,female,adult,lean & wet,83.76923916,36.592979,515.7695404,283.011512,15.21300531,18.18019499,0,1125.643076,113.7384276,2702.228092,462.8940464,28.53706725,9.0,5,5,6,1.0,0.86475962,0.89035273,2.5539427,0.42870528,0.063874952,0.063613355,-0.17479692,-0.03407817,-0.67777389,0.13747211,-0.009313415,0.190339,1.0,0.35376438,0.12026469,0.3554326,0.61570352,0.082394607,0.43864635
1386,24,female,child,lean & wet,84.71263813,40.22368195,318.2573116,244.2524249,13.70407656,12.77283012,0,914.669161,213.2667217,1973.907336,1376.815212,102.3890352,6.0,4,6,7,1.0,1.0,0.88201493,2.2943923,0.37023517,-0.072185241,-0.47689107,-0.035789303,-0.39692059,0.56150341,-0.33722189,-0.54889101,-0.93319082,1.0,0.48850486,0.37645653,1.0,0.8108269,0.13875754,0.28532571
1387,24,female,adult,lean & wet,197.0286211,114.1173412,569.2632992,1734.480044,46.96205454,28.90392458,0,2288.052652,2114.129179,4081.86827,8349.875733,755.4297068,10.0,5,6,8,1.0,1.0,0.89948606,2.4705424,0.5292328,0.21291719,-0.11006472,-0.0357893,0.58975607,1.1523218,0.15809293,0.17387281,0.80402839,1.0,1.0,0.42310515,1.0,0.90385085,0.13888888,0.52239245
1393,24,female,adult,lean & wet,107.0941339,21.28900289,548.2418598,208.9432682,13.89222345,18.49165535,0,1159.29704,85.44222495,2801.282338,51.14436811,122.4246122,6.0,4,4,5,0.18942359,1.0,0.8160615,1.9709446,0.50951838,-1.1484454,-1.1504595,-0.31380454,0.4674162,-1.5814781,-0.26228368,-0.48790312,-0.39171192,1.0,0.26117909,0.12288587,0.26700696,0.47341591,0.081111811,0.35921773
1395,34,female,adult,lean & wet,104.8364624,30.77703352,686.7908664,342.913141,15.9001246,23.71264844,0,1356.192661,223.5643069,3439.589675,949.8142116,54.85538538,8.0,4,4,5,1.0,1.0,0.84732032,2.1685958,0.47056201,-0.6383487,-0.73885798,-0.11522223,0.22566827,-0.083768003,-0.21599832,-0.17441802,0.38657504,1.0,0.42864144,0.12809616,0.69863844,0.70922935,0.1100358,0.46542537
